indx,Date,Player,Foot,Team,GameID,Outcome,Direction
3,2018-08-25,Joshua King,right,Bournemouth,513815,1,bottom right corner
6,2018-03-31,Glenn Murray,right,Brighton and Hove Albion,480589,0,bottom right corner
8,2018-09-01,Charlie Austin,right,Southampton,513807,0,centre of the goal
12,2018-12-01,Jamie Vardy,right,Leicester City,513707,1,bottom left corner
13,2018-10-01,Junior Stanislas,right,Bournemouth,513772,1,centre of the goal
17,2018-09-01,Pascal Groß,right,Brighton and Hove Albion,513802,0,bottom left corner
18,2018-09-01,Glenn Murray,right,Brighton and Hove Albion,513802,1,top left corner
19,2018-08-26,Eden Hazard,right,Chelsea,513813,1,bottom left corner
21,2018-10-06,Joshua King,right,Bournemouth,513761,1,bottom right corner
22,2018-02-04,Harry Kane,right,Tottenham Hotspur,480654,0,centre of the goal
23,2018-02-04,Harry Kane,right,Tottenham Hotspur,480654,1,bottom right corner
26,2018-09-02,Paul Pogba,right,Manchester United,513805,0,bottom left corner
29,2018-08-20,James Milner,right,Liverpool,513824,1,bottom right corner
30,2018-05-09,Jamie Vardy,right,Leicester City,480596,1,top left corner
31,2018-03-31,Luka Milivojević,right,Crystal Palace,480590,1,bottom left corner
32,2018-03-10,Wayne Rooney,right,Everton,480606,0,bottom left corner
33,2018-12-29,Mohamed Salah,left,Liverpool,513640,1,centre of the goal
34,2018-12-29,Roberto Firmino,right,Liverpool,513640,1,bottom right corner
36,2018-08-10,Paul Pogba,right,Manchester United,513836,1,top right corner
38,2018-10-28,Paul Pogba,right,Manchester United,513744,0,bottom left corner
39,2018-10-28,Gylfi Sigurðsson,right,Everton,513744,1,bottom right corner
40,2018-01-20,Sergio Agüero,right,Manchester City,480672,1,bottom left corner
41,2018-09-17,Danny Ings,right,Southampton,513791,1,bottom left corner
42,2018-09-17,Glenn Murray,right,Brighton and Hove Albion,513791,1,centre of the goal
46,2018-03-31,Joshua King,right,Bournemouth,480586,1,bottom left corner
47,2018-12-26,Mohamed Salah,left,Liverpool,513657,1,bottom left corner
48,2018-12-04,Glenn Murray,right,Brighton and Hove Albion,513695,1,top right corner
49,2018-12-04,Luka Milivojević,right,Crystal Palace,513695,1,bottom right corner
50,2018-02-10,Charlie Adam,left,Stoke City,480638,0,bottom left corner
51,2018-09-29,Harry Kane,right,Tottenham Hotspur,513778,1,bottom right corner
52,2018-02-11,Rajiv van La Parra,right,Huddersfield Town,480637,1,bottom right corner
57,2018-10-28,Luka Milivojević,right,Crystal Palace,513740,1,bottom left corner
58,2018-10-28,Luka Milivojević,right,Crystal Palace,513740,1,bottom left corner
59,2018-01-30,Mark Noble,right,West Ham United,480664,1,bottom left corner
60,2018-01-31,José Luis Sanmartín Mato,right,Newcastle United,480661,0,bottom right corner
62,2018-09-15,Eden Hazard,right,Chelsea,513793,1,bottom right corner
67,2018-02-05,Troy Deeney,right,Watford,480646,1,bottom left corner
70,2018-05-13,Xherdan Shaqiri,left,Stoke City,480533,0,bottom left corner
72,2018-08-18,Marko Arnautović,right,West Ham United,513821,1,bottom left corner
77,2018-09-29,Gylfi Sigurðsson,right,Everton,513773,0,the bar
