Date: 2018-10-01 | Player: Junior Stanislas | Foot: right | Team: Bournemouth | GameID: 513772             | Outcome: 1 | Direction:  centre of the goal
Date: 2018-08-20 | Player: James Milner | Foot: right | Team: Liverpool | GameID: 513824             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-10-01 | Player: Junior Stanislas | Foot: right | Team: Bournemouth | GameID: 513772             | Outcome: 1 | Direction:  centre of the goal
Date: 2018-01-03 | Player: Eden Hazard | Foot: right | Team: Chelsea | GameID: 480687             | Outcome: 1 | Direction:  centre of the goal
Date: 2018-01-30 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 480665             | Outcome: 1 | Direction:  centre of the goal
Date: 2018-01-30 | Player: Mark Noble | Foot: right | Team: West Ham United | GameID: 480664             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-02-05 | Player: Troy Deeney | Foot: right | Team: Watford | GameID: 480646             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-03-01 | Player: Pierre-Emerick Aubameyang | Foot: right | Team: Arsenal | GameID: 480629             | Outcome: 0 | Direction:  bottom right corner
Date: 2018-12-10 | Player: Gylfi Sigurdsson | Foot: right | Team: Everton | GameID: 513688             | Outcome: 0 | Direction:  centre of the goal
Date: 2018-01-20 | Player: Sergio Agüero | Foot: right | Team: Manchester City | GameID: 480672             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-01-20 | Player: Jamie Vardy | Foot: right | Team: Leicester City | GameID: 480674             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-02-03 | Player: Alexis Sánchez | Foot: right | Team: Manchester United | GameID: 480648             | Outcome: 0 | Direction:  bottom left corner
Date: 2018-02-04 | Player: Luka Milivojevic | Foot: right | Team: Crystal Palace | GameID: 480650             | Outcome: 1 | Direction:  top right corner
Date: 2018-02-04 | Player: Harry Kane | Foot: right | Team: Tottenham Hotspur | GameID: 480654             | Outcome: 1 | Direction:  bottom right corner
