Date: 2020-06-19 | Player: Bruno Fernandes | Foot: right | Team: Manchester United | GameID: 541551             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-06-22 | Player: Riyad Mahrez | Foot: left | Team: Manchester City | GameID: 541546             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-06-23 | Player: Neal Maupay | Foot: right | Team: Brighton and Hove Albion | GameID: 541538             | Outcome: 0 | Direction:  bottom left corner
Date: 2020-06-17 | Player: Kevin De Bruyne | Foot: right | Team: Manchester City | GameID: 541565             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-06-25 | Player: Willian | Foot: right | Team: Chelsea | GameID: 541541             | Outcome: 1 | Direction:  top left corner
Date: 2020-07-19 | Player: Danny Ings | Foot: right | Team: Southampton | GameID: 541483             | Outcome: 0 | Direction:  bottom right corner
Date: 2020-07-22 | Player: Michail Antonio | Foot: right | Team: West Ham United | GameID: 541484             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-07-12 | Player: Junior Stanislas | Foot: right | Team: Bournemouth | GameID: 541500             | Outcome: 1 | Direction:  high centre of the goal
Date: 2020-07-12 | Player: Raúl Jiménez | Foot: right | Team: Wolverhampton Wanderers | GameID: 541499             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-07-21 | Player: Raheem Sterling | Foot: right | Team: Manchester City | GameID: 541481             | Outcome: 0 | Direction:  bottom left corner
Date: 2020-07-02 | Player: Kevin De Bruyne | Foot: right | Team: Manchester City | GameID: 541528             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-07-15 | Player: Chris Wood | Foot: right | Team: Burnley | GameID: 541494             | Outcome: 1 | Direction:  top right corner
Date: 2020-07-09 | Player: Bruno Fernandes | Foot: right | Team: Manchester United | GameID: 541509             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-07-09 | Player: James Ward-Prowse | Foot: right | Team: Southampton | GameID: 541512             | Outcome: 0 | Direction: the bar
Date: 2020-07-04 | Player: Willian | Foot: right | Team: Chelsea | GameID: 541523             | Outcome: 1 | Direction:  top right corner
Date: 2020-07-04 | Player: Joshua King | Foot: right | Team: Bournemouth | GameID: 541517             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-07-04 | Player: Marcus Rashford | Foot: right | Team: Manchester United | GameID: 541517             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-07-04 | Player: Joshua King | Foot: right | Team: Bournemouth | GameID: 541517             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-07-04 | Player: Marcus Rashford | Foot: right | Team: Manchester United | GameID: 541517             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-07-01 | Player: Gylfi Sigurdsson | Foot: right | Team: Everton | GameID: 541527             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-07-01 | Player: Willian | Foot: right | Team: Chelsea | GameID: 541526             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-07-26 | Player: Joshua King | Foot: right | Team: Bournemouth | GameID: 541466             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-07-26 | Player: Bruno Fernandes | Foot: right | Team: Manchester United | GameID: 541469             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-07-26 | Player: Danny Ings | Foot: right | Team: Southampton | GameID: 541471             | Outcome: 1 | Direction:  bottom right corner
