indx,pen_taker,outcome,goalkeepers,off_target,Foot,Direction,Dominant_side,Height
0,Bobby Reid,Goal,Artur Boruc,,right,centre of the goal,right,193
1,Eden Hazard,Goal,Karl Darlow,,right,centre of the goal,right,190
2,Mohamed Salah,Saved,Jonas Lössl,,left,centre of the goal,right,195
3,Joshua King,Goal,Jordan Pickford,,right,bottom right corner,left,185
4,Wayne Rooney,Goal,Mathew Ryan,,right,bottom left corner,right,184
5,Mohamed Salah,Goal,David Button,,left,bottom right corner,right,191
6,Glenn Murray,Saved,Kasper Schmeichel,,right,bottom right corner,right,189
7,Paul Pogba,Goal,Sergio Rico González,,right,bottom right corner,right,195
8,Charlie Austin,Saved,Wayne Hennessey,,right,centre of the goal,right,197
9,Mark Noble,Goal,Martin Dúbravka,,right,top left corner,right,191
10,Matt Ritchie,Goal,Ederson,,left,bottom right corner,left,188
11,Alexandre Lacazette,Goal,Ben Foster,,right,bottom right corner,left,193
12,Jamie Vardy,Goal,Ben Foster,,right,bottom left corner,left,193
13,Junior Stanislas,Goal,Wayne Hennessey,,right,centre of the goal,right,197
14,James Milner,Goal,Sergio Rico González,,right,centre of the goal,right,195
15,Aaron Mooy,Goal,Kasper Schmeichel,,right,bottom right corner,right,189
16,Jamie Vardy,Goal,Ben Hamer,,right,top right corner,right,193
17,Pascal Groß,Saved,Marcus Bettinelli,,right,bottom left corner,right,194
18,Glenn Murray,Goal,Marcus Bettinelli,,right,top left corner,right,194
19,Eden Hazard,Goal,Martin Dúbravka,,right,bottom left corner,right,191
20,Aaron Mooy,Goal,Heurelho da Silva Gomes,,right,bottom left corner,right,191
21,Joshua King,Goal,Ben Foster,,right,bottom right corner,left,193
22,Harry Kane,Saved,Loris Karius,,right,centre of the goal,right,189
23,Harry Kane,Goal,Loris Karius,,right,bottom right corner,right,189
24,Gabriel Jesus,Goal,Rui Patrício,,right,bottom right corner,left,190
25,Jamie Vardy,Goal,Thibaut Courtois,,right,centre of the goal,left,200
26,Paul Pogba,Saved,Joe Hart,,right,bottom left corner,right,196
27,Gylfi Sigurðsson,Saved,Kepa Arrizabalaga,,right,bottom left corner,right,186
28,Paul Pogba,Goal,David Button,,right,bottom right corner,right,191
29,James Milner,Goal,Wayne Hennessey,,right,bottom right corner,right,197
30,Jamie Vardy,Goal,Petr Čech,,right,top left corner,left,196
31,Luka Milivojević,Goal,Loris Karius,,right,bottom left corner,right,189
32,Wayne Rooney,Saved,Mathew Ryan,,right,bottom left corner,right,184
33,Mohamed Salah,Goal,Bernd Leno,,left,centre of the goal,right,190
34,Roberto Firmino,Goal,Bernd Leno,,right,bottom right corner,right,190
35,Luka Milivojević,Goal,Mathew Ryan,,right,top right corner,right,184
36,Paul Pogba,Goal,Kasper Schmeichel,,right,top right corner,right,189
37,Paul Pogba,Saved,Angus Gunn,,right,centre of the goal,right,196
38,Paul Pogba,Saved,Jordan Pickford,,right,bottom left corner,left,185
39,Gylfi Sigurðsson,Goal,David de Gea,,right,bottom right corner,right,192
40,Sergio Agüero,Goal,Karl Darlow,,right,bottom left corner,right,190
41,Danny Ings,Goal,Mathew Ryan,,right,bottom left corner,right,184
42,Glenn Murray,Goal,Alex McCarthy,,right,centre of the goal,right,193
43,Eden Hazard,Goal,Jonas Lössl,,right,bottom left corner,right,195
44,Leighton Baines,Goal,Heurelho da Silva Gomes,,left,bottom left corner,right,191
45,Tom Cleverley,Off T,Jordan Pickford,1.0,right,left,left,185
46,Joshua King,Goal,Orestis Karnezis,,right,bottom left corner,right,190
47,Mohamed Salah,Goal,Martin Dúbravka,,left,bottom left corner,right,191
48,Glenn Murray,Goal,Wayne Hennessey,,right,top right corner,right,197
49,Luka Milivojević,Goal,Mathew Ryan,,right,bottom right corner,right,184
50,Charlie Adam,Saved,Mathew Ryan,,left,bottom left corner,right,184
51,Harry Kane,Goal,Jonas Lössl,,right,bottom right corner,right,195
52,Rajiv van La Parra,Goal,Asmir Begović,,right,bottom right corner,right,199
53,Sergio Agüero,Goal,Petr Čech,,right,bottom right corner,left,196
54,James Milner,Goal,Neil Leonard Dula Etheridge,,right,bottom right corner,right,188
55,James Ward-Prowse,Goal,Kasper Schmeichel,,right,top left corner,right,189
56,André Ayew Pelé,Saved,Rob Elliot,,left,bottom right corner,left,190
57,Luka Milivojević,Goal,Bernd Leno,,right,bottom left corner,right,190
58,Luka Milivojević,Goal,Bernd Leno,,right,bottom left corner,right,190
59,Mark Noble,Goal,Wayne Hennessey,,right,bottom left corner,right,197
60,José Luis Sanmartín Mato,Saved,Nick Pope,,right,bottom right corner,right,198
61,Gabriel Jesus,Off T,Hugo Lloris,1.0,right,left post,left,188
62,Eden Hazard,Goal,Neil Leonard Dula Etheridge,,right,bottom right corner,right,188
63,Mark Noble,Goal,Vicente Guaita,,right,bottom left corner,right,190
64,Harry Kane,Goal,Bernd Leno,,right,bottom right corner,right,190
65,Pierre-Emerick Aubameyang,Saved,Hugo Lloris,,right,bottom left corner,left,188
66,Sergio Agüero,Goal,Kepa Arrizabalaga,,right,bottom right corner,right,186
67,Troy Deeney,Goal,Thibaut Courtois,,right,bottom left corner,left,200
68,Harry Kane,Goal,Nick Pope,,right,bottom right corner,right,198
69,Pierre-Emerick Aubameyang,Goal,Neil Leonard Dula Etheridge,,right,centre of the goal,right,188
70,Xherdan Shaqiri,Saved,Łukasz Fabiański,,left,bottom left corner,right,190
71,Roberto Firmino,Goal,Heurelho da Silva Gomes,,right,bottom left corner,right,191
72,Marko Arnautović,Goal,Asmir Begović,,right,bottom left corner,right,199
73,Luka Milivojević,Goal,Ben Hamer,,right,bottom left corner,right,193
74,Pierre-Emerick Aubameyang,Goal,Mathew Ryan,,right,bottom left corner,right,184
75,Glenn Murray,Goal,Bernd Leno,,right,bottom right corner,right,190
76,Luka Milivojević,Goal,Łukasz Fabiański,,right,centre of the goal,right,190
77,Gylfi Sigurðsson,Off T,Marcus Bettinelli,1.0,right,the bar,right,194
78,Pascal Groß,Goal,David de Gea,,right,top centre of the goal,right,192
79,Paul Pogba,Goal,Mathew Ryan,,right,top centre of the goal,right,184
80,Rúben Neves,Goal,Hugo Lloris,,right,bottom left corner,left,188
81,Raúl Jiménez,Goal,Hugo Lloris,,right,bottom right corner,left,188
82,Mohamed Salah,Goal,Jonas Lössl,,left,centre of the goal,right,195
83,Wayne Rooney,Saved,Łukasz Fabiański,,right,bottom right corner,right,190
84,Wayne Rooney,Goal,Łukasz Fabiański,,right,bottom left corner,right,190
85,Pierre-Emerick Aubameyang,Saved,Ederson,,right,bottom right corner,left,188
86,Joshua King,Goal,Kasper Schmeichel,,right,bottom left corner,right,189
87,James Maddison,Goal,Asmir Begović,,right,bottom left corner,right,199
88,Luka Milivojević,Goal,Jonas Lössl,,right,top left corner,right,195
89,Sergio Agüero,Goal,Łukasz Fabiański,,right,bottom right corner,right,190
90,Manolo Gabbiadini,Goal,Rob Elliot,,left,top right corner,left,190
91,Troy Deeney,Goal,Łukasz Fabiański,,right,top right corner,right,190
92,Pierre-Emerick Aubameyang,Goal,David de Gea,,right,centre of the goal,right,192
93,Willian,Goal,Jack Butland,,right,bottom left corner,right,196
94,Jamie Vardy,Saved,Hugo Lloris,,right,bottom left corner,left,188
95,Anthony Martial,Goal,Jordan Pickford,,right,bottom left corner,left,185
96,Aboubakar Kamara,Goal,David de Gea,,right,bottom right corner,right,192
97,Matt Ritchie,Saved,Jordan Pickford,,left,centre of the goal,left,185
98,Jamie Vardy,Goal,Martin Dúbravka,,right,bottom left corner,right,191
99,Pierre-Emerick Aubameyang,Goal,Jack Butland,,right,bottom right corner,right,196
100,Alexandre Lacazette,Goal,Jack Butland,,right,bottom right corner,right,196
101,Gabriel Jesus,Saved,Łukasz Fabiański,,right,bottom left corner,right,190
102,Joe Ralls,Saved,Łukasz Fabiański,,left,bottom right corner,right,190
103,Jamie Vardy,Goal,Jordan Pickford,,right,bottom left corner,left,185
104,Mark Noble,Goal,Jack Butland,,right,bottom right corner,right,196
105,Eden Hazard,Goal,Ben Foster,,right,centre of the goal,left,193
106,Ashley Barnes,Goal,Mathew Ryan,,right,bottom left corner,right,184
107,Aleksandar Mitrović,Goal,Artur Boruc,,right,bottom left corner,right,193
108,Robert Kenedy Nunes do Nascimento,Saved,Neil Leonard Dula Etheridge,,left,centre of the goal,right,188
109,İlkay Gündoğan,Goal,Hugo Lloris,,right,bottom right corner,left,188
110,Paul Pogba,Goal,Tom Heaton,,right,top left corner,right,188
111,Glenn Murray,Goal,Alex McCarthy,,right,bottom right corner,right,193
112,Junior Stanislas,Goal,Jack Butland,,right,centre of the goal,right,196
113,Jamie Vardy,Goal,Mathew Ryan,,right,top right corner,right,184
114,Jamie Vardy,Goal,Jonas Lössl,,right,centre of the goal,right,195
115,Pierre-Emerick Aubameyang,Goal,Hugo Lloris,,right,bottom left corner,left,188
116,Harry Kane,Goal,Bernd Leno,,right,bottom left corner,right,190
117,Jamie Vardy,Goal,Orestis Karnezis,,right,bottom right corner,right,190
118,Glenn Murray,Goal,Joe Hart,,right,centre of the goal,right,196
119,Luka Milivojević,Saved,Ederson,,right,centre of the goal,left,188
120,Mark Noble,Goal,Ben Foster,,right,bottom left corner,left,193
121,Wayne Rooney,Saved,Joe Hart,,right,bottom left corner,right,196
122,Manuel Lanzini,Saved,Jordan Pickford,,right,bottom left corner,left,185
123,Jordan Ayew,Goal,Adrián San Miguel del Castillo,,right,bottom left corner,right,190
124,Luka Milivojević,Goal,Rui Patrício,,right,top left corner,left,190
125,Alexis Sánchez,Saved,Jonas Lössl,,right,bottom left corner,right,195
126,Joshua King,Goal,Kasper Schmeichel,,right,bottom right corner,right,189
127,Luka Milivojević,Saved,Jordan Pickford,,right,centre of the goal,left,185
128,Joshua King,Goal,Martin Dúbravka,,right,centre of the goal,right,191
129,Eden Hazard,Goal,Petr Čech,,right,centre of the goal,left,196
130,Aboubakar Kamara,Saved,Jonas Lössl,,right,bottom right corner,right,195
131,Wayne Rooney,Goal,Simon Mignolet,,right,top centre of the goal,right,193
132,Luka Milivojević,Goal,Asmir Begović,,right,top right corner,right,199
133,Christian Benteke,Saved,Asmir Begović,,right,bottom left corner,right,199
134,Luka Milivojević,Goal,Sergio Rico González,,right,bottom right corner,right,195
135,Christian Benteke,Goal,Ben Hamer,,right,top centre of the goal,right,193
136,Gylfi Sigurðsson,Saved,Ben Foster,,right,centre of the goal,left,193
137,Víctor Camarasa,Goal,David de Gea,,right,top left corner,right,192
138,Jesse Lingard,Goal,Neil Leonard Dula Etheridge,,right,bottom right corner,right,188
139,Luka Milivojević,Goal,Karl Darlow,,right,top right corner,right,190
140,Jay Rodriguez,Goal,Petr Čech,,right,centre of the goal,left,196
141,Harry Kane,Goal,Mathew Ryan,,right,bottom left corner,right,184
142,Troy Deeney,Goal,David de Gea,,right,bottom left corner,right,192
143,Paul Pogba,Goal,Łukasz Fabiański,,right,bottom left corner,right,190
144,Paul Pogba,Goal,Łukasz Fabiański,,right,centre of the goal,right,190
145,Pascal Groß,Goal,Hugo Lloris,,right,bottom left corner,left,188
146,Raheem Sterling,Goal,Heurelho da Silva Gomes,,right,top left corner,right,191
147,Nathaniel Mendez-Laing,Goal,David de Gea,,right,centre of the goal,right,192
148,Riyad Mahrez,Off T,Alisson,1.0,left,too high,right,191
149,Dušan Tadić,Goal,Joe Hart,,left,centre of the goal,right,196
150,Charlie Austin,Goal,Joe Hart,,right,centre of the goal,right,196
151,Sergio Agüero,Goal,Nick Pope,,right,bottom right corner,right,198
152,Joshua King,Goal,Rui Patrício,,right,bottom right corner,left,190
153,Raúl Jiménez,Goal,Artur Boruc,,right,bottom right corner,right,193
154,Joshua King,Off T,Rui Patrício,1.0,right,right post,left,190
155,Glenn Murray,Off T,Nick Pope,1.0,right,just a bit too high,right,198
156,Romelu Lukaku,Saved,Kasper Schmeichel,,left,bottom left corner,right,189
157,Luka Milivojević,Goal,Ederson,,right,bottom right corner,left,188
158,Callum Wilson,Saved,Neil Leonard Dula Etheridge,,right,bottom right corner,right,188
159,Troy Deeney,Goal,Petr Čech,,right,bottom right corner,left,196
160,Ashley Barnes,Goal,Alex McCarthy,,right,bottom right corner,right,193
161,Danny Ings,Goal,Jonas Lössl,,right,bottom left corner,right,195
162,Luka Milivojević,Goal,Kasper Schmeichel,,right,bottom right corner,right,189
163,Jamie Vardy,Saved,Simon Mignolet,,right,top centre of the goal,right,193
164,Danny Ings,Goal,Ederson,,right,bottom right corner,left,188
165,Jorginho,Goal,Ben Hamer,,right,bottom right corner,right,193
166,Glenn Murray,Goal,Simon Mignolet,,right,top right corner,right,193
167,Troy Deeney,Saved,Petr Čech,,right,centre of the goal,left,196
168,Glenn Murray,Goal,Łukasz Fabiański,,right,top centre of the goal,right,190
169,Luka Milivojević,Goal,Martin Dúbravka,,right,bottom left corner,right,191
170,Troy Deeney,Saved,Martin Dúbravka,,right,bottom left corner,right,191
171,Mark Noble,Goal,Jonas Lössl,,right,centre of the goal,right,195
172,Saido Berahino,Saved,Fraser Forster,,right,bottom right corner,right,201
173,Luka Milivojević,Goal,Joe Hart,,right,bottom left corner,right,196
174,Alexis Sánchez,Goal,Nick Pope,,right,bottom left corner,right,198
175,Callum Wilson,Goal,Sergio Rico González,,right,bottom left corner,right,195
176,Anthony Martial,Goal,Ederson,,right,bottom right corner,left,188
177,Leighton Baines,Goal,Julián Speroni,,left,bottom left corner,right,186
178,Sergio Agüero,Goal,Jonas Lössl,,right,bottom right corner,right,195
179,Gylfi Sigurðsson,Goal,Joe Hart,,right,bottom left corner,right,196
180,Rúben Neves,Goal,Jordan Pickford,,right,bottom right corner,left,185
181,James Maddison,Saved,Neil Leonard Dula Etheridge,,right,bottom left corner,right,188
182,Luka Milivojević,Goal,Jordan Pickford,,right,bottom left corner,left,185
183,Sergio Agüero,Goal,Łukasz Fabiański,,right,bottom left corner,right,190
184,Marcus Rashford,Goal,Kepa Arrizabalaga,,right,top left corner,right,186
185,Joshua King,Goal,Tom Heaton,,right,bottom left corner,right,188
186,Paul Pogba,Saved,Rui Patrício,,right,bottom left corner,left,190
187,Marcus Rashford,Off T,Vicente Guaita,1.0,right,left post,right,190
188,Mark Noble,Goal,Ben Foster,,right,bottom left corner,left,193
189,Mohamed Salah,Goal,Bernd Leno,,left,top left corner,right,190
190,Raúl Jiménez,Goal,Nick Pope,,right,centre of the goal,right,198
191,Harry Kane,Goal,Bernd Leno,,right,bottom left corner,right,190
192,Marcus Rashford,Goal,Kasper Schmeichel,,right,bottom right corner,right,189
193,Roberto Pereyra,Goal,Bernd Leno,,right,bottom left corner,right,190
194,James Ward-Prowse,Goal,Aaron Ramsdale,,right,top right corner,right,191
195,Sergio Agüero,Goal,Ben Foster,,right,centre of the goal,left,193
196,Nicolas Pépé,Goal,Tom Heaton,,left,centre of the goal,right,188
197,Luka Milivojević,Goal,Ralf Fährmann,,right,top right corner,right,197
198,Jorginho,Goal,Mathew Ryan,,right,bottom left corner,right,184
199,Wesley Moraes,Saved,Michael McGovern,,right,bottom left corner,right,190
200,James Milner,Goal,Kasper Schmeichel,,right,bottom right corner,right,189
201,Patrick van Aanholt,Goal,Roberto,,left,bottom left corner,right,192
202,Raúl Jiménez,Goal,Angus Gunn,,right,bottom left corner,right,196
203,Jamie Vardy,Goal,Angus Gunn,,right,top right corner,right,196
204,Neal Maupay,Goal,Jordan Pickford,,right,top centre of the goal,left,185
205,Luka Milivojević,Goal,Bernd Leno,,right,bottom right corner,right,190
206,Anthony Martial,Saved,Tim Krul,,right,bottom right corner,left,193
207,Marcus Rashford,Saved,Tim Krul,,right,bottom left corner,left,193
208,Mohamed Salah,Goal,Paulo Gazzaniga,,left,bottom right corner,right,195
209,Gerard Deulofeu,Goal,Kepa Arrizabalaga,,right,bottom left corner,right,186
210,James Ward-Prowse,Saved,Bernd Leno,,right,bottom right corner,right,190
211,Ashley Barnes,Goal,Ben Foster,,right,centre of the goal,left,193
212,Jamie Vardy,Goal,Mathew Ryan,,right,bottom left corner,right,184
213,Pierre-Emerick Aubameyang,Goal,Tim Krul,,right,bottom left corner,left,193
214,Marcus Rashford,Goal,Paulo Gazzaniga,,right,bottom right corner,right,195
215,Jamie Vardy,Goal,Ben Foster,,right,bottom right corner,left,193
216,Marcus Rashford,Goal,Ederson,,right,bottom right corner,left,188
